200,1.912709408
206.5,1.899887798
213.3,1.88822356
220.3,1.877744676
227.5,1.868298575
234.9,1.859757418
242.6,1.851917411
250.5,1.844803989
258.7,1.838258595
267.2,1.832234504
275.9,1.826747954
285,1.821633589
294.3,1.816968764
303.9,1.812662212
313.9,1.808646575
324.1,1.804974731
334.7,1.801548808
345.7,1.798355238
357,1.795405049
368.7,1.792654905
380.7,1.79011233
393.2,1.78772283
406,1.785513198
419.3,1.783437608
433,1.781503289
447.2,1.779687697
461.8,1.777995467
477,1.776396981
492.6,1.774906967
508.7,1.773508211
525.3,1.772194642
542.5,1.770953451
560.2,1.769787003
578.6,1.768678093
597.5,1.767634759
617,1.766646719
637.2,1.765705542
658.1,1.764808378
679.6,1.763956067
701.8,1.763141203
724.8,1.762357531
748.5,1.761605813
773,1.760880176
798.3,1.760178198
824.4,1.759497415
851.3,1.758835349
879.2,1.758184984
907.9,1.757548842
937.7,1.756918219
968.3,1.756297377
1000,1.755678078
1033,1.755054734
1066,1.754449222
1101,1.753822701
1137,1.75319156
1175,1.752536467
1213,1.751889642
1253,1.751214715
1294,1.750526459
1336,1.749822563
1380,1.749083933
1425,1.748324935
1471,1.747543214
1520,1.746701912
1569,1.745849839
1621,1.744931959
1674,1.743980236
1728,1.742992131
1785,1.741927383
1843,1.740819537
1904,1.739626344
1966,1.738382732
2030,1.737065029
2097,1.73564724
2165,1.734166921
2236,1.732575521
2309,1.730889248
2385,1.729078438
2463,1.727160035
2543,1.725128003
2627,1.722922677
2712,1.720614843
2801,1.718114579
2893,1.715438148
2987,1.712605175
3085,1.709543723
3186,1.706270971
3290,1.702773738
3398,1.699002442
3509,1.694974994
3624,1.690636875
3742,1.686006324
3865,1.680981476
3991,1.675618932
4122,1.669806335
4257,1.663555793
4396,1.656835236
4540,1.649558151
4688,1.641733444
4842,1.633205856
5000,1.62403175
